Product Name,Current Price,Old Price
Стул Винфорд Olive,12990,15990
Стол Буфорд Beige,12990,14990
Диван садовый Франс Terra,29990,36990
Стул Лаури Olive,7990,8990
Стул Конрад Grey,14990,16990
Кресло Филлис Olive,9990,11990
Стул Вилбурн Green,6990,7990
Стул Лайн-1 Cream,12990,14990
Диван садовый Амелиа Terra,19990,22990
Кресло Рутс Beige,33990,37990
Журнальный стол Синдзи Bordo,10990,12990
Кресло Акапулько Bordo,4990,7990
Стул Элден-1 Bordo,8990,9990
Кресло Донда White,9990,11990
Стул Конрад Bordo,13990,16990
Стул Арлен Olive,14990,18990
Стол Орвал Bordo,6990,8990
Стул Руфус Olive,11990,14990
Стул Тамека Beige,12990,14990
Шезлонг Эльвия Olive,12990,14990
Стул Винфорд Yellow,13990,15990
Диван садовый Рутс Beige,66990,74990
Стул Конрад Olive,14990,16990
Кресло Леола Olive,12990,14990
Журнальный стол Синдзи Olive,10990,12990
Стул Лаури Linen,7990,8990
Стул Руфус Grey,11990,14990
Стул Касто-1 Olive,3990,4990
Кресло Акапулько Olive,4990,7990
Шезлонг Эльвия Terra,12990,14990
Диван садовый Алси Grey,43990,49990
Стул Конрад Yellow,14990,16990
Кресло Элна Beige,41990,48990
Диван садовый Литта Black,45990,51990
Стул Тамека Black,12990,14990
Пуф Рутс Beige,20990,23990
Стул Руфус Yellow,12990,14990
Диван садовый Арлен Yellow,23990,32990
Стул Вилбурн-1 Green,7990,8990
Кресло Франс Linen,19990,23990
Стул Конрад Black,13990,16990
Шезлонг Эльвия Linen,12990,14990
Стул Лаури Terra,7990,8990
Стол Орвал Beige,6990,8990
Кресло Литта Black,25990,29990
Стул Элден Beige,7990,8990
Стул Руфус Bordo,11990,14990
Кресло Акапулько Beige,5990,7990
