курс:,Программист на Python с нуля с помощью ChatGPT 2.0,https://university.zerocoder.ru/teach/control/stream/view/id/921295699
Урок,Статус ДЗ,URL
W00. Анкета,Доступен к просмотру,/teach/control/lesson/view/id/336393084
W01. Onboarding,Задание выполнено,/teach/control/lesson/view/id/336393085
Сборник задач по Python,Доступен к просмотру,/teach/control/lesson/view/id/336393086
PP00. P2P проверка домашних заданий,Доступен к просмотру,/teach/control/lesson/view/id/336393266
OP04.1 P2P проверка домашнего задания,Задание выполнено,/teach/control/lesson/view/id/336393094
OP08.1 P2P проверка домашнего задания,Задание выполнено,/teach/control/lesson/view/id/336393098
OB03.1 P2P проверка домашнего задания,Задание выполнено,/teach/control/lesson/view/id/336393120
OB06.1 P2P проверка домашнего задания,Задание выполнено,/teach/control/lesson/view/id/336393124
PS04.1 P2P проверка домашнего задания,Есть задание,/teach/control/lesson/view/id/336393144
1. Работа в компании или фриланс?,Доступен к просмотру,/teach/control/lesson/view/id/336393269
Стажировка,Доступен к просмотру,/teach/control/lesson/view/id/338132387
Маркетплейс,Задание выполнено,/teach/control/lesson/view/id/338132418
курс:,Курс «Зерокодер на Bubble» 3.0,https://university.zerocoder.ru/teach/control/stream/view/id/889457326
Урок,Статус ДЗ,URL
Анкета,Задание выполнено,/teach/control/lesson/view/id/330405428
B00. Вводный урок. Как проходит обучение,Задание выполнено,/teach/control/lesson/view/id/329587314
F01. Дизайн веб-сайта. Знакомство с Figma,Задание выполнено,/teach/control/lesson/view/id/329587166
F02. Собираем дизайн-макет маркетплейса. Экран регистрации,Задание выполнено,/teach/control/lesson/view/id/329587167
F03. Собираем дизайн-макет маркетплейса. Главная страница,Задание выполнено,/teach/control/lesson/view/id/329587169
"F04. Собираем дизайн-макет маркетплейса. Боковое меню, Избранное, чат с поддержкой",Задание выполнено,/teach/control/lesson/view/id/329587170
F05. Собираем дизайн-макет маркетплейса. Финал,Задание выполнено,/teach/control/lesson/view/id/329587171
Обратная связь по модулю Figma,Задание выполнено,/teach/control/lesson/view/id/330407240
B01. Введение в Bubble. Обзор платформы,Задание выполнено,/teach/control/lesson/view/id/329587173
B02. Создание калькулятора. Математика Bubble.,Задание выполнено,/teach/control/lesson/view/id/329620009
B03. Анализ приложения и юзер-флоу,Доступен к просмотру,/teach/control/lesson/view/id/329587175
B04. Проектирование базы данных,"Завершите прошлое домашние задание, чтобы открыть урок",/teach/control/lesson/view/id/329587176
Обратная связь по модулю 2,Недоступен,/teach/control/lesson/view/id/330407295
B05. Вёрстка главной страницы. Хедер,Доступен к просмотру,/teach/control/lesson/view/id/329587178
B06. Создание входной группы приложения. Сборка приложения,"Завершите прошлое домашние задание, чтобы открыть урок",/teach/control/lesson/view/id/329587179
B07. Вёрстка личного кабинета. Боковое меню и личный кабинет,Недоступен,/teach/control/lesson/view/id/329587180
B08. Вёрстка личного кабинета. Кнопки Изменить данные и Сохранить. Чек-боксы уведомлений,Недоступен,/teach/control/lesson/view/id/329653346
B09. Разделение прав доступа внутри приложения: продавец-покупатель,Недоступен,/teach/control/lesson/view/id/329587181
"B10. Плагины, API-интеграция, создание плагина из шаблонов (ChatGPT)",Недоступен,/teach/control/lesson/view/id/329855126
"B11. Верстка главной страницы. Рекламные баннеры, Каталог, страницы Продукты и Справки",Недоступен,/teach/control/lesson/view/id/329587184
B12. Верстка страниц Избранное и Корзина. Фильтрация на главной странице и поиск товаров,Недоступен,/teach/control/lesson/view/id/329587186
B13. Каталог и навигация в нём. Страница Мои Заказы. Аналитика и передача приложения заказчику,Недоступен,/teach/control/lesson/view/id/329587188
B14. Адаптивность,Недоступен,/teach/control/lesson/view/id/329587189
Обратная связь по модулю 3,Недоступен,/teach/control/lesson/view/id/330407388
B15. Разработка мессенджера. Основная страница. Список чатов. Окно чата,Доступен к просмотру,/teach/control/lesson/view/id/329958358
B16. Разработка мессенджера. Настройка диалогового окна,"Завершите прошлое домашние задание, чтобы открыть урок",/teach/control/lesson/view/id/329962634
"B17. Разработка мессенджера. Идентификатор онлайн, набора сообщения и последнего посещения",Недоступен,/teach/control/lesson/view/id/329963160
Предложение от редакции Университета Zerocoder,Недоступен,/teach/control/lesson/view/id/329987928
Выбор работы для выпускного проекта,Недоступен,/teach/control/lesson/view/id/341703761
Загрузка выпускного проекта на Bubble,Недоступен,/teach/control/lesson/view/id/341703902
Обратная связь по курсу,Недоступен,/teach/control/lesson/view/id/329587197
